course_name,related_url,application_link,detail
DEC-28,https://www.pcpd.org.hk/english/education_training/organisations/workshops/workshop.php,https://www.pcpd.org.hk/english/education_training/organisations/workshops/workshop.php,Date: 15 Oct
DM-108,https://www.pcpd.org.hk/english/education_training/organisations/workshops/workshop.php,https://www.pcpd.org.hk/english/education_training/organisations/workshops/workshop.php,Date: 22 Oct
LAW-37,https://www.pcpd.org.hk/english/education_training/organisations/workshops/workshop.php,https://www.pcpd.org.hk/english/education_training/organisations/workshops/workshop.php,Date: 19 Nov
DAR-91,https://www.pcpd.org.hk/english/education_training/organisations/workshops/workshop.php,https://www.pcpd.org.hk/english/education_training/organisations/workshops/workshop.php,Date: 3 Dec
Practical Tips for Directors and Executives of Subsidiaries for Hong Kong Listed Companies,https://www.hkiod.com/events/training-practical-tips-for-directors-and-executives-of-subsidiaries-for-hong-kong-listed-companies/,https://hkiod.wufoo.com/forms/training-programmes-registration-form/,Date: Tue14/10/20256:30 – 8:30 pm
Finance for Directors (Advanced Level),https://www.hkiod.com/events/training-finance-for-directors-advanced-level/,https://hkiod.wufoo.com/forms/training-programmes-registration-form/,Date: Wed15/10/20256:30 – 8:30 pm
Independent Non‐Executive Directors: Role and Fulfillment,https://www.hkiod.com/events/training-independent-non%e2%80%90executive-directors-role-and-fulfillment-%e8%aa%b2%e7%a8%8b%e5%9f%b9%e8%a8%93%ef%bc%9a%e7%8d%a8%e7%ab%8b%e9%9d%9e%e5%9f%b7%e8%a1%8c%e8%91%a3%e4%ba%8b-%e8%81%b7/,https://hkiod.wufoo.com/forms/training-programmes-registration-form/,Date: Wed22/10/20256:30 – 8:30 pm
Finance for Directors,https://www.hkiod.com/events/training-finance-for-directors-3/,https://hkiod.wufoo.com/forms/training-programmes-registration-form/,Date: Wed6/11/20256:30 – 8:30 pm
ESG戰略與競爭力融合方面,https://www.hkiod.com/events/%e8%aa%b2%e7%a8%8b%e5%9f%b9%e8%a8%93%ef%bc%9aesg%e6%88%b0%e7%95%a5%e8%88%87%e7%ab%b6%e7%88%ad%e5%8a%9b%e8%9e%8d%e5%90%88%e6%96%b9%e9%9d%a2/,https://hkiod.wufoo.com/forms/training-programmes-registration-form/,Date: Mon10/11/20256:30 – 7:30 pm
Role of Company Director I: Overview of Legal & Regulatory Framework,https://www.hkiod.com/events/18114/,https://hkiod.wufoo.com/forms/training-programmes-registration-form/,Date: Wed12/11/20256:30 – 8:30 pm
Hong Kong Stablecoins Regulatory Framework,https://complianceplus.thinkific.com/courses/Hong%20Kong%20Stablecoins%20Regulatory%20Framework,https://complianceplus.thinkific.com/courses/Hong%20Kong%20Stablecoins%20Regulatory%20Framework,Price: HK$400.00
Compliance Requirements for Tokenized Funds In Hong Kong,https://complianceplus.thinkific.com/courses/Compliance%20Requirements%20for%20Tokenized%20Funds%20In%20Hong%20Kong,https://complianceplus.thinkific.com/courses/Compliance%20Requirements%20for%20Tokenized%20Funds%20In%20Hong%20Kong,Price: HK$780.00
Anti-Money Laundering and Counter-Financing of Terrorism Guidelines For Licensed Stablecoin Issuers,https://complianceplus.thinkific.com/courses/Anti-Money%20Laundering%20and%20Counter-Financing%20of%20Terrorism%20Guidelines%20For%20Licensed%20Stablecoin%20Issuers,https://complianceplus.thinkific.com/courses/Anti-Money%20Laundering%20and%20Counter-Financing%20of%20Terrorism%20Guidelines%20For%20Licensed%20Stablecoin%20Issuers,Price: HK$780.00
"Ongoing obligations and filing requirements for OFC, LPF and SFC E-Ip Portal","https://complianceplus.thinkific.com/courses/Ongoing%20obligations%20and%20filing%20requirements%20for%20OFC,%20LPF%20and%20SFC%20E-Ip%20Portal","https://complianceplus.thinkific.com/courses/Ongoing%20obligations%20and%20filing%20requirements%20for%20OFC,%20LPF%20and%20SFC%20E-Ip%20Portal",Price: HK$780.00
Latest Updates on SFC Licensing Application and related matters in Hong Kong (Chinese Version),https://complianceplus.thinkific.com/courses/latestSFClicensingmatters,https://complianceplus.thinkific.com/courses/latestSFClicensingmatters,Price: HK$780.00
