course_name,related_url,application_link,detail
Compliance Training for Responsible Officers of Brokers 持牌保險經紀公司負責人合規培訓,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours:
1
"
Business Ethics in the Finance Sector (eCPD) 商業道德操守(金融業) (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
11
"
Compliance Training Courses for Insurance Agents (eCPD) 合規培訓課程(保險代理人) (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: 31

[Remark: The CPD Provider changed the CPD hours of this activity:
- 25 CPD hours during the period from 08 Feb 2025 -
11 Jun 2025;
- 28 CPD hours during the period from 12 Jun 2025 - 12 Jun 2025;
- 31 CPD hours during the period from 13 Jun 2025 - 07 Feb 2026]"
Stress Management (Financial Professionals) – Decoding Stress at Work Place (eCPD) 壓力管理新思維(金融專業人士)-職場壓力解碼 (eCPD),N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
3
"
Greater Bay Area Series (eCPD) 粵港澳大灣區系列 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
17

[Remark: The CPD Provider changed the CPD hours of this activity:
- 11 CPD hours during the period from 20 Dec 2024 -
26 Mar 2025;
- 14 CPD hours during the period from 27 Mar 2025 - 06 Apr 2025;
-17 CPD hours during the period from 07 Apr 2025 - 19 Dec 2025]
"
The New Solution of Sales Management (Insurance and Investment Professionals) - How to do Heart Selling with High Impact (eCPD) 銷售管理新方向 (保險及投資專業人士) – 打動人心的高效銷售方式 (eCPD),N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
3
"
Business Skills Series (eCPD) 商業技巧系列 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: 10

[Remark: The CPD Provider changed the CPD hours of this activity:
- 9 CPD hours during the period from 30 Dec 2024 -
21 Jan 2025;
- 10 CPD hours during the period from 22 Jan 2025 - 29 Dec 2025]"
Digital Economy Series (eCPD) 數字經濟系列 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
7
"
Financial Investment Series (eCPD) 金融投資系列（eCPD） *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
9
"
Cybersecurity for Financial Industry Series (eCPD) 金融業網絡安全系列（eCPD） *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
3
"
Workplace Health Decoding Series (eCPD) 職場健康解碼系列 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
5
"
Basic Law Article 23 Legislation: Safeguarding National Security Ordinance and Financial Stability and Security in Hong Kong (eCPD) 《基本法》第二十三條立法：《維護國家安全條例》與香港金融穩定安全 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours:
3
"
"Ethics or Regulations Course – The AML, Client Privacy and Corruption Risk and Family Office Regulations 道德及規例課程 – 反洗錢、客戶私隱及貪污風險及家族辦公室的法規 *",N/A,N/A,"Provider: HK Finance and Legal Professional Training Institute, Hours:
9
"
General insurance and annuity product series 一般保險及年金產品系列 *,N/A,N/A,"Provider: HK Finance and Legal Professional Training Institute, Hours:
7
"
"Ethics or Regulations Course - Misconduct, Personal Injuries and how Chinese clients affected by China's Capital & FX Control 道德及規例課程 - 不當行為，個人傷害，以及中國資本和外匯管制對中國客戶之影响 *",N/A,N/A,"Provider: HK Finance and Legal Professional Training Institute, Hours:
9
"
Product Distribution & Insurtech Series (E-learning) 產品分銷及保險科技系列 (線上學習) *,N/A,N/A,"Provider: Itech (Asia) Company Limited, Hours:
3
"
Financial Crime Risk Management 金融犯罪風險管理,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours:
2
"
The challenge of Social Selling and how to apply it in the Insurance Industry,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours:
1
"
Insurance Product Series 保險產品系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours:
3
"
Technology Series 科技系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours:
2.5
"
Investment Series 投資系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours:
2
"
Compliance Series 法規系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours:
6
"
Ethics or Regulations Series 道德或規例系列 *,N/A,N/A,"Provider: OnePlatform Wealth Management Limited, Hours:
4
"
Risk Management Program 風險管理課程 *,N/A,N/A,"Provider: HK Excellent Education Centre, Hours:
11
"
Business Ethics 商業道德操守 *,N/A,N/A,"Provider: HK Excellent Education Centre, Hours:
8
"
Investment Planning 理財策劃,N/A,N/A,"Provider: HK Excellent Education Centre, Hours:
8
"
Wealth Management Program 財富管理課程 *,N/A,N/A,"Provider: HK Excellent Education Centre, Hours:
12
"
Fundamental of Insurance and Financial Services for Insurance Intermediaries *,N/A,N/A,"Provider: The Chartered Insurance Institute Hong Kong Limited, Hours:
8.5
"
Regulations and compliance for insurance industry 保險業相關法規及條例 *,N/A,N/A,"Provider: Hong Kong Financial Services Professionals Association Limited, Hours:
8
"
Improving the Overall Understanding of Wealth Management 提升財富管理的全面認知 *,N/A,N/A,"Provider: Hong Kong Financial Services Professionals Association Limited, Hours:
8
"
Practices & Updates in Financial Planning XI - eLearning Series *,N/A,N/A,"Provider: Institute of Financial Planners of Hong Kong, Hours:
18
"
Practices & Updates in Financial Planning XII *,N/A,N/A,"Provider: Institute of Financial Planners of Hong Kong, Hours:
14
"
Continuing Professional Development (CPD) Course July 2025,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-july-2025,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-july-2025,
Continuing Professional Development (CPD) Course April 2025,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-april-2025,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-april-2025,
Continuing Professional Development (CPD) Course July 2024,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-july-2024,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-july-2024,
Continuing Professional Development (CPD) Course March 2024,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-march-2024,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-march-2024,
Continuing Professional Development (CPD) Course October 2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-october-2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-october-2023,
Continuing Professional Development (CPD) Course September 2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-september-2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-september-2023,
Continuing Professional Development (CPD) Course June 2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2023,
Continuing Professional Development (CPD) Course November 2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-november-2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-november-2022,
Continuing Professional Development (CPD) Course July 2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-July-2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-July-2022,
Continuing Professional Development (CPD) Course Mar 2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-mar-2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-mar-2022,
Continuing Professional Development (CPD) Course Feb 2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-feb-2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-feb-2022,
Continuing Professional Development (CPD) Course Nov 2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-nov-2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-nov-2021,
Continuing Professional Development (CPD) Course June 2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2021,
Continuing Professional Development (CPD) Course March 2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-march-2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-march-2021,
